Hazard,Threshold,Total_Grid_Points,Actual_Positives,Actual_Negatives,Predicted_Positives,Predicted_Negatives,True_Positives_TP,True_Negatives_TN,False_Positives_FP,False_Negatives_FN,Sensitivity_Recall_POD,Specificity_TNR,Precision_PPV,Negative_Predictive_Value_NPV,False_Positive_Rate_FPR,False_Negative_Rate_MissRate,False_Alarm_Ratio_FAR,Accuracy,Balanced_Accuracy,F1_Score,Critical_Success_Index_CSI,Equitable_Threat_Score_ETS,Heidke_Skill_Score_HSS,Matthews_Correlation_Coefficient_MCC,Diagnostic_Odds_Ratio_DOR,AUROC,PR_AUC
Thunderstorm,0.9395,2981888,1737,2980151,2217,2979671,533,2978467,1684,1204,0.306851,0.999435,0.240415,0.999596,0.000565,0.693149,0.759585,0.999031,0.653143,0.2696,0.155802,0.155484,0.269123,0.271131,782.98,0.995025,0.199549
Cloudburst,0.7036,2981888,188389,2793499,211929,2769959,143765,2725335,68164,44624,0.763128,0.975599,0.678364,0.98389,0.024401,0.236872,0.321636,0.962176,0.869364,0.718254,0.560372,0.536165,0.698056,0.699446,128.81,0.98173,0.796567
Flash Flood,0.8794,2981888,6175,2975713,8853,2973035,2672,2969532,6181,3503,0.432713,0.997923,0.301819,0.998822,0.002077,0.567287,0.698181,0.996752,0.715318,0.355603,0.216251,0.215087,0.354027,0.359814,366.46,0.992296,0.306228
