Hazard,Model,Threshold,TP,FP,FN,TN,AUROC,PR_AUC,F1_Score,Precision_pct,Recall_pct,FAR_FalseAlarm_pct,CSI_ThreatScore,ETS_EquitableThreat,HSS_HeidkeSkill,MCC,DOR
Thunderstorm,Before (Baseline),0.9873,637,2592,1100,2977559,0.9945,0.1867,0.2565,19.73,36.67,80.27,0.1471,0.1468,0.256,0.2684,665.23
Thunderstorm,After (Fine-Tuned),0.9395,533,1684,1204,2978467,0.995,0.1995,0.2696,24.04,30.69,75.96,0.1558,0.1555,0.2691,0.2711,782.98
Cloudburst,Before (Baseline),0.9253,142460,70209,45929,2723290,0.9807,0.7859,0.7104,66.99,75.62,33.01,0.5509,0.5263,0.6896,0.6911,120.31
Cloudburst,After (Fine-Tuned),0.7036,143765,68164,44624,2725335,0.9817,0.7966,0.7183,67.84,76.31,32.16,0.5604,0.5362,0.6981,0.6994,128.81
Flash Flood,Before (Baseline),0.9917,2376,5191,3799,2970522,0.9922,0.2881,0.3458,31.4,38.48,68.6,0.209,0.208,0.3443,0.3461,357.9
Flash Flood,After (Fine-Tuned),0.8794,2672,6181,3503,2969532,0.9923,0.3062,0.3556,30.18,43.27,69.82,0.2163,0.2151,0.354,0.3598,366.46
