year,variable,missing_count,count,min,max,mean
1990,HGT_prl,0,19435520,-336.0766296386719,21087.736328125,8212.7666015625
1990,RH_prl,0,19435520,0.0,100.01561737060547,39.55356216430664
1990,TMP_prl,0,19435520,186.12966918945312,325.9769287109375,251.93417358398438
1990,UGRD_prl,0,19435520,-54.3125,87.92618560791016,4.531009674072266
1990,VGRD_prl,0,19435520,-57.47383117675781,49.511863708496094,0.0060949488542973995
1990,APCP_sfc,0,1495040,0.0,314.15625,0.9370007514953613
1990,PRMSL_msl,0,1495040,97392.6015625,104965.6484375,100930.7421875
1990,TMP_2m,0,1495040,229.7371368408203,323.3988342285156,292.36907958984375
1990,UGRD_10m,0,1495040,-25.233488082885742,19.282203674316406,1.0232272148132324
1990,VGRD_10m,0,1495040,-29.46651840209961,26.052921295166016,0.18499459326267242
1990,LAND_sfc,0,1495040,0.0,1.0,0.62109375
1990,MTERH_sfc,0,1495040,-19.6400146484375,5656.359375,1151.626953125
1990,wind_speed_prl,0,19435520,0.0,88.30845642089844,12.08267879486084
1990,wind_direction_prl,0,19435520,0.0,359.9999694824219,196.79620361328125
1990,wind_speed_10m,0,1495040,0.0012046914780512452,29.692733764648438,3.9563169479370117
1990,wind_direction_10m,0,1495040,0.00048828125,359.999755859375,186.95791625976562
1990,specific_humidity,0,19435520,0.0,0.054467834532260895,0.0037055378779768944
1990,IWV,0,1495040,1.1233948469161987,155.87496948242188,38.45720291137695
1991,HGT_prl,0,19435520,-396.30157470703125,21099.986328125,8209.2001953125
1991,RH_prl,0,19435520,0.0017831886652857065,100.01560974121094,39.23381042480469
1991,TMP_prl,0,19435520,186.875,327.9592590332031,251.83975219726562
1991,UGRD_prl,0,19435520,-59.8125,97.39025115966797,4.951805591583252
1991,VGRD_prl,0,19435520,-61.09773635864258,61.39459228515625,0.4153757095336914
1991,APCP_sfc,0,1495040,0.0,275.96875,0.9400061368942261
1991,PRMSL_msl,0,1495040,96723.46875,104530.671875,100941.3671875
1991,TMP_2m,0,1495040,228.03273010253906,326.3971252441406,292.3194885253906
1991,UGRD_10m,0,1495040,-18.368087768554688,20.301198959350586,0.932701826095581
1991,VGRD_10m,0,1495040,-19.81342124938965,19.795963287353516,0.1182340458035469
1991,LAND_sfc,0,1495040,0.0,1.0,0.62109375
