cluster,TMP_prl_1000,TMP_prl_850,TMP_prl_500,TMP_prl_200,RH_prl_1000,RH_prl_850,RH_prl_500,RH_prl_200,wind_speed_prl_1000,wind_speed_prl_850,wind_speed_prl_500,wind_speed_prl_200,APCP_sfc,PRMSL_msl,TMP_2m,wind_speed_10m,IWV,du_200_850,dv_200_850,convergence_850,sample_count,interpretation
0,298.18677,289.20572,261.9523,218.85359,43.15841,38.64399,24.735664,17.67987,2.5190358,3.8144104,16.039421,41.436638,0.1144864,101304.875,286.6937,2.9243875,20.147524,37.68101,3.5565858,3.522399e-08,11108,regime_00_profile
1,300.75873,292.43997,268.48718,221.0865,78.14685,74.59415,63.215782,51.916336,8.442145,10.63706,6.1073556,17.79911,2.2494197,100718.39,301.27066,7.518709,54.17086,-22.950058,-2.493283,1.5275706e-06,9618,regime_01_profile
2,289.38995,280.73868,254.02745,216.42688,58.24385,56.822346,45.69175,15.603253,1.3697064,1.6286247,11.179552,36.919704,0.36386752,102086.195,263.98193,2.366486,18.37055,34.75939,-0.7126298,-1.5047943e-06,6286,regime_02_profile
3,310.19763,300.09586,267.5589,223.4204,26.32425,28.18287,34.912506,12.984537,2.6832385,3.876883,7.8490133,22.837925,0.13763559,100080.03,295.78287,3.6321275,31.16137,18.334627,0.8710841,2.9830956e-06,6871,regime_03_profile
4,300.24344,292.3043,267.705,219.68375,67.92538,51.856037,18.450838,27.031399,4.5033903,4.9605937,6.8860974,14.557611,0.114423215,101074.16,300.01996,4.086025,33.497196,7.085633,6.0352325,-1.0012092e-06,14287,regime_04_profile
5,302.8797,294.0147,269.1805,222.7342,79.713776,81.06668,71.47113,45.079662,2.0225852,3.6505263,5.6290417,14.017051,2.3333292,100468.33,295.3094,2.2600675,64.45434,-2.8187208,-0.026950955,1.1078821e-06,11722,regime_05_profile
