Mode: full
Device: cuda
Batch size: 8
Channels: 18
Parameters: {'total': 290595, 'backbone': 262656, 'thunderstorm_head': 9313, 'cloudburst_head': 9313, 'flash_flood_head': 9313}
pos_weight (raw): [500.0, 18.223827362060547, 500.0]


--- Epoch 1/6 ---
  [>-------------------]   2.0% | Ep 1/6 [ 381/3103] | Loss: 0.2394 | Avg: 0.3885 | Elapsed: 08m 20s | ETA: 6h 39m 02s
  [>-------------------]   2.1% | Ep 1/6 [ 391/3103] | Loss: 0.1889 | Avg: 0.3851 | Elapsed: 08m 38s | ETA: 6h 42m 38s
  [>-------------------]   2.2% | Ep 1/6 [ 401/3103] | Loss: 0.4402 | Avg: 0.3823 | Elapsed: 08m 57s | ETA: 6h 46m 38s
  [>-------------------]   2.2% | Ep 1/6 [ 411/3103] | Loss: 0.1851 | Avg: 0.3777 | Elapsed: 09m 15s | ETA: 6h 50m 09s
  [>-------------------]   2.3% | Ep 1/6 [ 421/3103] | Loss: 0.2090 | Avg: 0.3734 | Elapsed: 09m 34s | ETA: 6h 53m 52s
  [>-------------------]   2.3% | Ep 1/6 [ 431/3103] | Loss: 0.2439 | Avg: 0.3697 | Elapsed: 09m 54s | ETA: 6h 57m 51s
  [>-------------------]   2.4% | Ep 1/6 [ 441/3103] | Loss: 0.1522 | Avg: 0.3667 | Elapsed: 10m 11s | ETA: 7h 00m 22s
  [>-------------------]   2.4% | Ep 1/6 [ 451/3103] | Loss: 0.3624 | Avg: 0.3647 | Elapsed: 10m 29s | ETA: 7h 02m 34s
  [>-------------------]   2.5% | Ep 1/6 [ 461/3103] | Loss: 0.1696 | Avg: 0.3618 | Elapsed: 10m 47s | ETA: 7h 05m 17s
  [=>------------------]   2.5% | Ep 1/6 [ 471/3103] | Loss: 0.2253 | Avg: 0.3591 | Elapsed: 11m 07s | ETA: 7h 08m 26s
  [=>------------------]   2.6% | Ep 1/6 [ 481/3103] | Loss: 0.2260 | Avg: 0.3563 | Elapsed: 11m 27s | ETA: 7h 12m 20s
  [=>------------------]   2.6% | Ep 1/6 [ 491/3103] | Loss: 0.2274 | Avg: 0.3545 | Elapsed: 11m 47s | ETA: 7h 15m 19s
  [=>------------------]   2.7% | Ep 1/6 [ 501/3103] | Loss: 0.1059 | Avg: 0.3516 | Elapsed: 12m 06s | ETA: 7h 18m 03s
  [=>------------------]   2.7% | Ep 1/6 [ 511/3103] | Loss: 0.1288 | Avg: 0.3491 | Elapsed: 12m 25s | ETA: 7h 20m 14s
  [=>------------------]   2.8% | Ep 1/6 [ 521/3103] | Loss: 0.1128 | Avg: 0.3466 | Elapsed: 12m 45s | ETA: 7h 23m 02s
  [=>------------------]   2.9% | Ep 1/6 [ 531/3103] | Loss: 0.2305 | Avg: 0.3448 | Elapsed: 13m 05s | ETA: 7h 26m 00s
  [=>------------------]   2.9% | Ep 1/6 [ 541/3103] | Loss: 0.1916 | Avg: 0.3428 | Elapsed: 13m 24s | ETA: 7h 27m 54s
  [=>------------------]   3.0% | Ep 1/6 [ 551/3103] | Loss: 0.1589 | Avg: 0.3406 | Elapsed: 13m 45s | ETA: 7h 31m 02s
  [=>------------------]   3.0% | Ep 1/6 [ 561/3103] | Loss: 0.2135 | Avg: 0.3386 | Elapsed: 14m 00s | ETA: 7h 30m 58s
  [=>------------------]   3.1% | Ep 1/6 [ 571/3103] | Loss: 0.1920 | Avg: 0.3368 | Elapsed: 14m 14s | ETA: 7h 29m 58s
  [=>------------------]   3.1% | Ep 1/6 [ 581/3103] | Loss: 0.1896 | Avg: 0.3350 | Elapsed: 14m 26s | ETA: 7h 28m 34s
  [=>------------------]   3.2% | Ep 1/6 [ 591/3103] | Loss: 0.2099 | Avg: 0.3329 | Elapsed: 14m 39s | ETA: 7h 27m 05s
  [=>------------------]   3.2% | Ep 1/6 [ 601/3103] | Loss: 0.1693 | Avg: 0.3312 | Elapsed: 14m 51s | ETA: 7h 25m 23s
  [=>------------------]   3.3% | Ep 1/6 [ 611/3103] | Loss: 0.1759 | Avg: 0.3303 | Elapsed: 15m 04s | ETA: 7h 24m 22s
  [=>------------------]   3.3% | Ep 1/6 [ 621/3103] | Loss: 0.2055 | Avg: 0.3284 | Elapsed: 15m 16s | ETA: 7h 22m 36s
  [=>------------------]   3.4% | Ep 1/6 [ 631/3103] | Loss: 0.2989 | Avg: 0.3260 | Elapsed: 15m 28s | ETA: 7h 20m 53s
  [=>------------------]   3.4% | Ep 1/6 [ 641/3103] | Loss: 0.2293 | Avg: 0.3247 | Elapsed: 15m 39s | ETA: 7h 19m 13s
  [=>------------------]   3.5% | Ep 1/6 [ 651/3103] | Loss: 0.2948 | Avg: 0.3229 | Elapsed: 15m 51s | ETA: 7h 17m 51s
  [=>------------------]   3.6% | Ep 1/6 [ 661/3103] | Loss: 0.2158 | Avg: 0.3210 | Elapsed: 16m 03s | ETA: 7h 16m 07s
  [=>------------------]   3.6% | Ep 1/6 [ 671/3103] | Loss: 0.1226 | Avg: 0.3190 | Elapsed: 16m 15s | ETA: 7h 14m 45s
  [=>------------------]   3.7% | Ep 1/6 [ 681/3103] | Loss: 0.1537 | Avg: 0.3169 | Elapsed: 16m 27s | ETA: 7h 13m 41s
  [=>------------------]   3.7% | Ep 1/6 [ 691/3103] | Loss: 0.1317 | Avg: 0.3150 | Elapsed: 16m 40s | ETA: 7h 12m 35s
  [=>------------------]   3.8% | Ep 1/6 [ 701/3103] | Loss: 0.5330 | Avg: 0.3139 | Elapsed: 16m 52s | ETA: 7h 11m 28s
  [=>------------------]   3.8% | Ep 1/6 [ 711/3103] | Loss: 0.1681 | Avg: 0.3122 | Elapsed: 17m 04s | ETA: 7h 10m 14s
  [=>------------------]   3.9% | Ep 1/6 [ 721/3103] | Loss: 0.1340 | Avg: 0.3104 | Elapsed: 17m 17s | ETA: 7h 09m 12s
  [=>------------------]   3.9% | Ep 1/6 [ 731/3103] | Loss: 0.1317 | Avg: 0.3090 | Elapsed: 17m 29s | ETA: 7h 07m 56s
  [=>------------------]   4.0% | Ep 1/6 [ 741/3103] | Loss: 0.1447 | Avg: 0.3072 | Elapsed: 17m 41s | ETA: 7h 06m 48s
  [=>------------------]   4.0% | Ep 1/6 [ 751/3103] | Loss: 0.2794 | Avg: 0.3065 | Elapsed: 17m 53s | ETA: 7h 05m 45s
  [=>------------------]   4.1% | Ep 1/6 [ 761/3103] | Loss: 0.1249 | Avg: 0.3046 | Elapsed: 18m 05s | ETA: 7h 04m 40s
  [=>------------------]   4.1% | Ep 1/6 [ 771/3103] | Loss: 0.1166 | Avg: 0.3032 | Elapsed: 18m 17s | ETA: 7h 03m 35s
